pk_tiempo,vch_centro,SEDE,RFFProcesado,RFFProcesadoPropios,RFFProcesadoTerceros,CPOObtenido,CPOObtenidoPropios,CPOObtenidoTerceros,FECHA,PLANTACION
20190220,3006,NH,230.35,26.05,204.3,52.18,6.85158,45.32842,2019-02-20,Nuevo Horizonte
20190220,3702,SH,782.1,769.25,12.85,189.159,187.77958,1.37942,2019-02-20,Shanuzi
20190221,3002,PW,859.57,732.99,126.58,216.0,189.67217,26.32783,2019-02-21,Palmawasi
20190221,3006,NH,279.475,39.51,239.965,62.73,8.23687,54.49313,2019-02-21,Nuevo Horizonte
20190221,3702,SH,540.75,533.2,7.55,142.408,141.3695,1.0385,2019-02-21,Shanuzi
20190222,3002,PW,1031.84,913.0,118.84,261.0,229.1872,31.8128,2019-02-22,Palmawasi
20190222,3006,NH,199.26,65.06,134.2,55.35,7.26783,48.08217,2019-02-22,Nuevo Horizonte
20190222,3702,SH,1005.0,990.92,14.08,225.859,224.21195,1.64705,2019-02-22,Shanuzi
20190223,3002,PW,786.73,671.26,115.47,200.0,175.62238,24.37762,2019-02-23,Palmawasi
20190223,3006,NH,243.35,5.35,238.0,56.8,7.45822,49.34178,2019-02-23,Nuevo Horizonte
20190223,3702,SH,930.8,929.92,0.88,230.562,228.88065,1.68135,2019-02-23,Shanuzi
20190224,3002,PW,0.0,0.0,0.0,0.0,0.0,0.0,2019-02-24,Palmawasi
20190224,3702,SH,196.8,196.8,0.0,51.714,51.33688,0.37712,2019-02-24,Shanuzi
20190225,3002,PW,565.59,515.58,50.01,143.0,125.57,17.43,2019-02-25,Palmawasi
20190225,3006,NH,132.1,0.0,132.1,30.13,3.95627,26.17373,2019-02-25,Nuevo Horizonte
20190225,3702,SH,0.0,0.0,0.0,0.0,0.0,0.0,2019-02-25,Shanuzi
20190226,3002,PW,1117.3,981.76,135.54,283.0,248.50566,34.49434,2019-02-26,Palmawasi
20190226,3006,NH,142.98,40.47,102.51,38.28,5.02642,33.25358,2019-02-26,Nuevo Horizonte
20190226,3702,SH,1810.0,1810.0,0.0,490.75,487.17126,3.57874,2019-02-26,Shanuzi
20190227,3002,PW,1052.55,932.37,120.18,267.0,234.45587,32.54413,2019-02-27,Palmawasi
20190227,3006,NH,195.12,27.89,167.23,50.54,6.63624,43.90376,2019-02-27,Nuevo Horizonte
20190227,3702,SH,1815.6,1813.62,1.98,494.162,490.55838,3.60362,2019-02-27,Shanuzi
20190228,3002,PW,1075.94,920.52,155.42,314.0,275.72713,38.27287,2019-02-28,Palmawasi
20190228,3006,NH,201.4,0.0,201.4,48.58,6.37888,42.20112,2019-02-28,Nuevo Horizonte
20190228,3702,SH,1390.5,1386.36,4.14,388.014,385.18445,2.82955,2019-02-28,Shanuzi
20190301,3002,PW,1054.95,976.44,78.51,261.65,233.93551,27.71449,2019-03-01,Palmawasi
20190301,3006,NH,173.785,41.61,132.175,46.26,7.63518,38.62482,2019-03-01,Nuevo Horizonte
20190301,3702,SH,722.8,715.39,7.41,181.147,179.14,2.007,2019-03-01,Shanuzi
20190302,3002,PW,838.05,719.09,118.96,209.42,187.23781,22.18219,2019-03-02,Palmawasi
20190302,3006,NH,163.65,39.82,123.83,43.2,7.13012,36.06988,2019-03-02,Nuevo Horizonte
20190302,3702,SH,508.25,506.24,2.01,130.87,129.42004,1.44996,2019-03-02,Shanuzi
20190303,3002,PW,0.0,0.0,0.0,0.0,0.0,0.0,2019-03-03,Palmawasi
20190304,3002,PW,518.76,485.45,33.31,130.15,116.36425,13.78575,2019-03-04,Palmawasi
20190304,3006,NH,163.74,26.31,137.43,37.68,6.21905,31.46095,2019-03-04,Nuevo Horizonte
20190304,3702,SH,0.0,-6.4,6.4,0.0,0.0,0.0,2019-03-04,Shanuzi
20190305,3002,PW,912.83,809.99,102.84,227.88,203.74249,24.13751,2019-03-05,Palmawasi
20190305,3006,NH,185.98,27.16,158.82,46.56,7.68469,38.87531,2019-03-05,Nuevo Horizonte
