AÑO,MES,FECHA,PESO NETO T.M.,% VERDES,% MADUROS,% SMADUROS,% ESCOBAJO,TOTAL,FRUTO SUELTO K.G.,% IMPUREZAS,% PEDUNCULO,% MALFORMADO,PLANTACION
2024,Junio,2024-06-06,150.89,0.004987531172069825,0.9139650872817955,0.0798004987531172,0.001246882793017456,1,0.0,0.0,0.002244389027431422,0.007730673316708229,Palmawasi
2024,Junio,2024-06-07,115.49,0.004081632653061225,0.9224489795918367,0.07244897959183673,0.001020408163265306,1,0.0,0.0,0.003061224489795918,0.00816326530612245,Palmawasi
2024,Junio,2024-06-08,151.15,0.004271844660194175,0.9166990291262136,0.0774757281553398,0.001553398058252427,1,0.0,0.0,0.002718446601941748,0.006796116504854369,Palmawasi
2024,Junio,2024-06-10,119.26,0.005326876513317191,0.9142857142857143,0.0791767554479419,0.001210653753026634,1,0.0,0.0,0.007263922518159807,0.01234866828087167,Palmawasi
2024,Junio,2024-06-11,199.46,0.005168986083499006,0.9184890656063617,0.07375745526838966,0.002584493041749503,1,0.0,0.0,0.003180914512922465,0.01650099403578529,Palmawasi
2024,Junio,2024-06-12,193.88,0.004381846635367762,0.9230046948356808,0.07042253521126761,0.002190923317683881,1,0.0,0.0,0.003755868544600939,0.007198748043818467,Palmawasi
2024,Junio,2024-06-13,279.48,0.004101326899879373,0.9037394451145959,0.08926417370325694,0.002895054282267793,1,0.0,0.0,0.004583835946924005,0.009650180940892641,Palmawasi
2024,Junio,2024-06-14,172.72,0.004634146341463414,0.9165853658536586,0.07780487804878049,0.000975609756097561,1,0.0,0.0,0.003414634146341464,0.01146341463414634,Palmawasi
2024,Junio,2024-06-15,131.56,0.003961965134706815,0.9033280507131537,0.0919175911251981,0.000792393026941363,1,0.0,0.0,0.003961965134706815,0.01505546751188589,Palmawasi
2024,Junio,2024-06-17,105.54,0.005022156573116691,0.9113737075332348,0.08330871491875923,0.0002954209748892171,1,0.0,0.0,0.003545051698670606,0.006203840472673559,Palmawasi
2024,Junio,2024-06-18,166.41,0.004,0.9075555555555556,0.08533333333333333,0.003111111111111111,1,0.0,0.0,0.001777777777777778,0.01111111111111111,Palmawasi
2024,Junio,2024-06-19,142.85,0.004593639575971731,0.9084805653710247,0.08657243816254417,0.0003533568904593639,1,0.0,0.0,0.003180212014134276,0.003886925795053003,Palmawasi
2024,Junio,2024-06-20,226.87,0.004680851063829788,0.921276595744681,0.07361702127659575,0.000425531914893617,1,0.0,0.0,0.001702127659574468,0.005531914893617021,Palmawasi
2024,Junio,2024-06-21,213.03,0.004090909090909091,0.9154545454545454,0.07840909090909091,0.002045454545454546,1,0.0,0.0,0.003181818181818182,0.01272727272727273,Palmawasi
2024,Junio,2024-06-22,165.51,0.005420054200542005,0.9184281842818428,0.07533875338753387,0.0008130081300813008,1,0.0,0.0,0.002710027100271003,0.01029810298102981,Palmawasi
2024,Junio,2024-06-24,42.93,0.004102564102564103,0.9230769230769231,0.07282051282051281,0,1,0.0,0.0,0.001025641025641026,0.004102564102564103,Palmawasi
2024,Junio,2024-06-25,38.6,0.007692307692307693,0.9153846153846152,0.07628205128205129,0.0006410256410256411,1,0.0,0.0,0.0006410256410256411,0.004487179487179487,Palmawasi
2024,Junio,2024-06-26,151.8,0.006531531531531532,0.9148648648648648,0.07635135135135135,0.002252252252252252,1,0.0,0.0,0.004954954954954955,0.00472972972972973,Palmawasi
2024,Junio,2024-06-27,306.66,0.004551920341394026,0.9106685633001422,0.08477951635846373,0,1,0.0,0.0,0.001991465149359886,0.001422475106685633,Palmawasi
