FECHA,PLANTACION,VERDES,MADUROS,SMADUROS,PEDUNCULO,ESCOBAJO,MALFORMADOA,MALFORMADOB,Peso,Racimos
2022-02-11,Palmawasi,13.0,3721.0,233.0,2.0,0.0,79.0,27.0,984555.14677,45517.0
2022-02-11,Shanuzi,,,,,,,,1061387.1143399999,66580.0
2022-02-12,Nuevo Horizonte,,,,,,,,28487.42227,2076.0
2022-02-12,Palmawasi,13.0,3760.0,152.0,0.0,0.0,77.0,27.0,829137.67996,39148.0
2022-02-12,Shanuzi,,,,,,,,1046519.9813100001,67633.0
2022-02-13,Shanuzi,,,,,,,,67863.6719,4293.0
2022-02-14,Nuevo Horizonte,,,,,,,,26595.5425,1936.0
2022-02-14,Palmawasi,12.0,2255.0,122.0,1.0,0.0,64.0,10.0,785458.97803,35384.0
2022-02-14,Shanuzi,,,,,,,,899680.8829,57149.0
2022-02-15,Nuevo Horizonte,,,,,,,,17707.46608,1289.0
2022-02-15,Palmawasi,9.0,2530.0,127.0,0.0,0.0,47.0,13.0,523287.49781,24775.0
2022-02-15,Shanuzi,,,,,,,,751514.32073,48843.0
2022-02-16,Nuevo Horizonte,,,,,,,,32823.07672,2476.0
2022-02-16,Palmawasi,26.0,4570.0,278.0,1.0,0.0,110.0,28.0,1021499.65506,47239.0
2022-02-16,Shanuzi,,,,,,,,946442.93062,62174.0
2022-02-17,Nuevo Horizonte,,,,,,,,27856.82417,1984.0
2022-02-17,Palmawasi,25.0,4196.0,408.0,0.0,0.0,97.0,32.0,1067101.22084,48802.0
2022-02-17,Shanuzi,,,,,,,,946734.57403,62276.0
2022-02-18,Nuevo Horizonte,,,,,,,,21452.37147,1479.0
2022-02-18,Palmawasi,30.0,3948.0,272.0,0.0,0.0,122.0,23.0,871155.05975,40993.0
2022-02-18,Shanuzi,,,,,,,,965772.36957,63036.0
2022-02-19,Nuevo Horizonte,,,,,,,,24178.74798,1652.0
2022-02-19,Palmawasi,30.0,3331.0,144.0,3.0,0.0,99.0,16.0,894639.25465,42111.0
2022-02-19,Shanuzi,,,,,,,,983777.3798499999,63459.0
2022-02-20,Palmawasi,,,,,,,,45562.73444,2360.0
2022-02-20,Shanuzi,,,,,,,,34258.17376,2328.0
2022-02-21,Nuevo Horizonte,,,,,,,,14959.37392,1031.0
2022-02-21,Palmawasi,8.0,1699.0,100.0,0.0,0.0,54.0,13.0,577227.0128,27080.0
2022-02-21,Shanuzi,,,,,,,,771581.56089,50661.0
2022-02-22,Nuevo Horizonte,,,,,,,,20208.86936,1389.0
