AÑO;MES;DIA;RFF PROCESADO;TM CONDENSADO;TM ACEITE CONDENSADO;% PERDIDA ACEITE CONDENSADO;TM ESCOBAJO SIN PICAR;TM ACEITE ESCOBAJO SIN PICAR;% PERDIDA ACEITE ESCOBAJO SIN PICAR;TM ESCOBAJO PICADO;TM ACEITE ESCOBAJO PICADO;% PERDIDA ACEITE ESCOBAJO PICADO;% PERDIDA TOTAL ACEITE ESCOBAJO;% RACIMOS DUROS;% RACIMOS MAL DESFRUTADO ANORMAL;% RACIMO MAL DESFRUTADO;FACTOR;TM ACEITE RACIMO MAL DESFRUTADO;% EN PESO DE FRUTO ADHERIDO;% PERDIDA ACEITE FRUTO ADHERIDO NORMAL;TM FIBRA;TM ACEITE FIBRA;% PERDIDA ACEITE FIBRA;M3 AGUA TD;TM ACEITE AGUA TD;% PERDIDA ACEITE AGUA TD;TM SOLIDOS TD;TM ACEITE SOLIDO TD;% PERDIDA ACEITE SOLIDO TD;TM ARENA;TM ACEITE EN ARENA;% PERDIDA ACEITE EN ARENA;TM NUEZ;TM ACEITE CASCARA;% PERDIDA ACEITE EN CASCARA;% PERDIDA TOTAL;PLANTACION;FECHA
2024;Marzo;30/03/2024 00:00;0;0;0;-;0;0;-;0;0;-;-;-;-;-;-;0;-;-;0;0;-;0;0;-;0;0;-;0;0;-;0;0;-;-;Nuevo Horizonte;30/03/2024
2024;Marzo;31/03/2024 00:00;0;0;0;-;0;0;-;0;0;-;-;-;-;-;-;0;-;-;0;0;-;0;0;-;0;0;-;0;0;-;0;0;-;-;Nuevo Horizonte;31/03/2024
2024;Abril;1/04/2024 00:00;172.47703;10.86605289;0.024686;0.000143126;30.18348025;1.878746;0.010892732;0;0;0;0.010892732;0.044;0.008;0.066;0.530056767;0.1412;0.000818;0.00081866;29.3210951;1.00772;0.005842633;43.1192575;0.390806;0.002265844;11.21100695;0.368932;0.002139021;0.362201763;0.020548;0.000119135;12.0733921;0.106506;0.000617508;0.022838659;Nuevo Horizonte;1/04/2024
2024;Abril;2/04/2024 00:00;281.03504;17.70520752;0.038408;0.000136666;49.181132;4.305095;0.015318713;0;0;0;0.015318713;0.042;0.01;0.06;0.824521417;0.2091;0.000744;0.000744035;47.7759568;1.499009;0.005333886;70.25876;0.511546;0.001820221;18.2672776;0.675527;0.002403711;0.590173584;0.033481;0.000119135;19.6724528;0.122863;0.00043718;0.026313548;Nuevo Horizonte;2/04/2024
2024;Abril;3/04/2024 00:00;264.0473;16.6349799;0.045733;0.0001732;46.2082775;3.81554;0.014450214;0;0;0;0.014450214;0.034;0.008;0.052;0.627347514;0.1704;0.000645;0.000645339;44.888041;1.688161;0.006393404;66.011825;0.473037;0.001791486;17.1630745;0.533188;0.00201929;0.55449933;0.052742;0.000199745;18.483311;0.214465;0.000812222;0.026484899;Nuevo Horizonte;3/04/2024
2024;Abril;4/04/2024 00:00;268.14377;16.89305751;0.023665;8.83E-05;46.92515975;5.107672;0.019048259;0;0;0;0.019048259;0.035;0.013333;0.055;0.655757448;0.183;0.000682;0.00068247;45.5844409;1.318746;0.004918056;67.0359425;0.413584;0.001542396;17.42934505;0.51601;0.001924378;0.563101917;0.038677;0.00014424;18.7700639;0.070337;0.000262311;0.028610365;Nuevo Horizonte;4/04/2024
2024;Abril;5/04/2024 00:00;200.55062;12.63468906;0.051341;0.000256;35.0963585;2.687822;0.013402212;0;0;0;0.013402212;0.036666;0.016666;0.056666;0.513755634;0.141;0.000703;0.000703064;34.0936054;1.26937;0.006329424;50.137655;0.370801;0.001848915;13.0357903;0.480204;0.002394428;0.421156302;0.038309;0.000191019;14.0385434;0.12703;0.000633406;0.025758469;Nuevo Horizonte;5/04/2024
2024;Abril;6/04/2024 00:00;197.97632;12.47250816;0.08413;0.00042495;34.645856;3.816815;0.019279149;0;0;0;0.019279149;0.04;0.01;0.05;0.553278041;0.1228;0.00062;0.000620276;33.6559744;1.030356;0.005204441;49.49408;0.504276;0.002547153;12.8684608;0.378502;0.001911855;0.415750272;0.041049;0.000207343;13.8583424;0.058397;0.00029497;0.030490136;Nuevo Horizonte;6/04/2024
2024;Abril;7/04/2024 00:00;0;0;0;-;0;0;-;0;0;-;-;-;-;-;-;0;-;-;0;0;-;0;0;-;0;0;-;0;0;-;0;0;-;-;Nuevo Horizonte;7/04/2024
2024;Abril;8/04/2024 00:00;158.95285;10.01402955;0.165373;0.00104039;27.81674875;1.55351;0.009773401;0;0;0;0.009773401;0.0425;0.0075;0.035;0.472034124;0.069;0.000434;0.000434091;27.0219845;0.863602;0.00543307;39.7382125;0.653871;0.004113616;10.33193525;0.342329;0.002153651;0.333800985;0.00933;5.87E-05;11.1266995;0.08006;0.000503671;0.023510588;Nuevo Horizonte;8/04/2024
2024;Abril;9/04/2024 00:00;167.10649;10.52770887;0.043716;0.000261606;29.24363575;1.674029;0.010017738;0;0;0;0.010017738;0.035;0.01;0.0625;0.40863735;0.1295;0.000774;0.000774955;28.4081033;0.855207;0.005117737;41.7766225;0.50486;0.003021187;10.86192185;0.394755;0.002362296;0.350923629;0.019243;0.000115154;11.6974543;0.027014;0.000161657;0.02183233;Nuevo Horizonte;9/04/2024
2024;Abril;10/04/2024 00:00;147.83242;9.31344246;0.021146;0.00014304;25.8706735;1.565227;0.010587847;0;0;0;0.010587847;0.034;0.0125;0.0575;0.351203725;0.1054;0.000712;0.000712969;25.1315114;0.679793;0.004598403;36.958105;0.588526;0.003981035;9.6091073;0.364162;0.002463343;0.310448082;0.017024;0.000115157;10.3482694;0.058049;0.000392668;0.022994462;Nuevo Horizonte;10/04/2024
2024;Abril;11/04/2024 00:00;204.25887;12.86830881;0.024798;0.000121405;35.74530225;1.765532;0.0086436;0;0;0;0.0086436;0.046;0.016;0.04;0.656392375;0.1013;0.000495;0.000495939;34.7240079;1.105763;0.005413537;51.0647175;0.4902;0.002399896;13.27682655;0.396175;0.001939573;0.428943627;0.023521;0.000115153;14.2981209;0.041569;0.000203511;0.019332615;Nuevo Horizonte;11/04/2024
2024;Abril;12/04/2024 00:00;173.78712;10.94858856;0.02409;0.000138618;30.412746;1.495866;0.008607462;0;0;0;0.008607462;0.04;0.0075;0.065;0.485598747;0.1401;0.000806;0.000806159;29.5438104;1.059361;0.006095739;43.44678;0.755046;0.00434466;11.2961628;0.354008;0.002037021;0.364952952;0.023257;0.000133825;12.1650984;0.05784;0.000332821;0.022496305;Nuevo Horizonte;12/04/2024
2024;Abril;13/04/2024 00:00;146.77485;9.24681555;0.051057;0.000347859;25.68559875;1.453856;0.009905348;0;0;0;0.009905348;0.04;0.015;0.045;0.410200864;0.0819;0.000557;0.000557998;24.9517245;0.812332;0.005534545;36.6937125;0.566606;0.003860375;9.54036525;0.257188;0.001752262;0.308227185;0.020328;0.000138498;10.2742395;0.048898;0.00033315;0.022430035;Nuevo Horizonte;13/04/2024
2024;Abril;14/04/2024 00:00;0;0;0;-;0;0;-;0;0;-;-;-;-;-;-;0;-;-;0;0;-;0;0;-;0;0;-;0;0;-;0;0;-;-;Nuevo Horizonte;14/04/2024
2024;Abril;15/04/2024 00:00;0;0;0;-;0;0;-;0;0;-;-;-;-;-;-;0;-;-;0;0;-;0;0;-;0;0;-;0;0;-;0;0;-;-;Nuevo Horizonte;15/04/2024
