FECHA,PLANTACION,PRECIPITACION_TOTAL
2019-09-24,Nuevo Horizonte,0.0
2019-09-24,Palmawasi,5.6000000000000005
2019-09-25,Nuevo Horizonte,0.0
2019-09-25,Palmawasi,1.6
2019-09-26,Nuevo Horizonte,0.0
2019-09-26,Palmawasi,0.0
2019-09-27,Nuevo Horizonte,9.9
2019-09-27,Palmawasi,54.1
2019-09-28,Nuevo Horizonte,0.0
2019-09-28,Palmawasi,15.700000000000001
2019-09-29,Nuevo Horizonte,0.0
2019-09-29,Palmawasi,0.0
2019-09-30,Nuevo Horizonte,50.0
2019-09-30,Palmawasi,162.6
2019-10-01,Nuevo Horizonte,0.0
2019-10-01,Palmawasi,1.9000000000000001
2019-10-02,Nuevo Horizonte,0.0
2019-10-02,Palmawasi,5.8
2019-10-03,Nuevo Horizonte,0.0
2019-10-03,Palmawasi,12.2
2019-10-04,Nuevo Horizonte,0.0
2019-10-04,Palmawasi,44.3
2019-10-05,Nuevo Horizonte,0.0
2019-10-05,Palmawasi,0.0
2019-10-06,Nuevo Horizonte,3.3
2019-10-06,Palmawasi,215.0
2019-10-07,Nuevo Horizonte,87.7
2019-10-07,Palmawasi,514.8
2019-10-08,Nuevo Horizonte,27.5
2019-10-08,Palmawasi,266.9
2019-10-09,Nuevo Horizonte,0.0
2019-10-09,Palmawasi,1.2
2019-10-10,Nuevo Horizonte,0.0
2019-10-10,Palmawasi,0.2
2019-10-11,Nuevo Horizonte,0.0
2019-10-11,Palmawasi,7.5
2019-10-12,Nuevo Horizonte,0.0
2019-10-12,Palmawasi,0.0
2019-10-13,Nuevo Horizonte,0.0
2019-10-13,Palmawasi,36.7
2019-10-14,Nuevo Horizonte,0.0
2019-10-14,Palmawasi,0.2
2019-10-15,Nuevo Horizonte,0.0
2019-10-15,Palmawasi,0.4
2019-10-16,Nuevo Horizonte,1.4
2019-10-16,Palmawasi,18.6
2019-10-17,Nuevo Horizonte,2.8
2019-10-17,Palmawasi,38.2
