PLANTACION,FECHA,campania_min,campania_max,campania_prom,campania_median,distinct_count
Nuevo Horizonte,2022-09-30,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-10-01,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-10-03,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-10-04,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-10-05,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-10-06,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-10-07,2011.0,2014.0,2011.6,2011.0,2
Nuevo Horizonte,2022-10-08,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-10-10,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-10-11,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-10-12,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-10-13,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-10-14,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-10-17,2011.0,2014.0,2011.375,2011.0,2
Nuevo Horizonte,2022-10-18,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-10-19,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-10-20,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-10-21,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-10-22,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-10-24,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-10-26,2014.0,2014.0,2014.0,2014.0,1
Nuevo Horizonte,2022-10-27,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-10-31,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-11-01,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-11-02,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-11-03,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-11-04,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-11-07,2011.0,2014.0,2011.5,2011.0,2
Nuevo Horizonte,2022-11-08,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-11-09,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-11-10,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-11-11,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-11-12,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-11-14,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-11-15,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-11-16,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-11-17,2011.0,2014.0,2011.3,2011.0,2
Nuevo Horizonte,2022-11-18,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-11-19,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-11-21,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-11-22,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-11-23,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-11-24,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-11-28,2011.0,2014.0,2011.6,2011.0,2
Nuevo Horizonte,2022-11-29,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-11-30,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-12-01,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-12-02,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-12-03,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-12-05,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-12-06,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-12-07,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-12-08,2011.0,2014.0,2011.3333333333333,2011.0,2
Nuevo Horizonte,2022-12-09,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-12-12,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-12-13,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-12-14,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-12-15,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-12-16,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-12-17,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-12-19,2011.0,2014.0,2011.5,2011.0,2
Nuevo Horizonte,2022-12-20,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-12-21,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-12-22,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-12-23,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-12-26,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-12-27,2011.0,2011.0,2011.0,2011.0,1
