PTANIO,PTNOMBREMES,"Date(PTDIA, 'DD/MM/YYYY')",PROPIOS,TERCEROS,TOTAL,PARTICIPACION CP,PLANTACION,FECHA
2023,Febrero,2023-02-01 00:00:00,42.69,241.25,283.94,0.84965133478904,Nuevo Horizonte,2023-02-01
2023,Febrero,2023-02-02 00:00:00,34.1,216.14,250.24,0.8637308184143222,Nuevo Horizonte,2023-02-02
2023,Febrero,2023-02-03 00:00:00,0.0,177.43,177.43,1.0,Nuevo Horizonte,2023-02-03
2023,Febrero,2023-02-04 00:00:00,34.07,107.92,141.99,0.7600535248961194,Nuevo Horizonte,2023-02-04
2023,Febrero,2023-02-05 00:00:00,14.06,40.53,54.59,0.742443671002015,Nuevo Horizonte,2023-02-05
2023,Febrero,2023-02-06 00:00:00,0.0,145.54,145.54,1.0,Nuevo Horizonte,2023-02-06
2023,Febrero,2023-02-07 00:00:00,39.86,256.02,295.88,0.8652832229282141,Nuevo Horizonte,2023-02-07
2023,Febrero,2023-02-08 00:00:00,7.9,161.58,169.48,0.9533868303044607,Nuevo Horizonte,2023-02-08
2023,Febrero,2023-02-09 00:00:00,16.05,214.26,230.31,0.9303113195258564,Nuevo Horizonte,2023-02-09
2023,Febrero,2023-02-10 00:00:00,0.0,128.31,128.31,1.0,Nuevo Horizonte,2023-02-10
2023,Febrero,2023-02-11 00:00:00,0.0,161.99,161.99,1.0,Nuevo Horizonte,2023-02-11
2023,Febrero,2023-02-12 00:00:00,0.0,12.24,12.24,1.0,Nuevo Horizonte,2023-02-12
2023,Febrero,2023-02-13 00:00:00,0.0,108.04,108.04,1.0,Nuevo Horizonte,2023-02-13
2023,Febrero,2023-02-14 00:00:00,95.42,161.14,256.56,0.6280792017461803,Nuevo Horizonte,2023-02-14
2023,Febrero,2023-02-15 00:00:00,44.99,203.09,248.08,0.8186472105772331,Nuevo Horizonte,2023-02-15
2023,Febrero,2023-02-16 00:00:00,66.17,171.24,237.41,0.7212838549345015,Nuevo Horizonte,2023-02-16
2023,Febrero,2023-02-17 00:00:00,55.01,204.41,259.42,0.7879500424022821,Nuevo Horizonte,2023-02-17
2023,Febrero,2023-02-18 00:00:00,71.49,145.36,216.85,0.6703251095227115,Nuevo Horizonte,2023-02-18
2023,Febrero,2023-02-19 00:00:00,0.0,19.13,19.13,1.0,Nuevo Horizonte,2023-02-19
2023,Febrero,2023-02-20 00:00:00,28.35,102.05,130.4,0.7825920245398772,Nuevo Horizonte,2023-02-20
2023,Febrero,2023-02-21 00:00:00,73.7,252.64,326.34,0.7741619170190598,Nuevo Horizonte,2023-02-21
2023,Febrero,2023-02-22 00:00:00,68.21000000000001,212.8,281.01,0.7572684246112238,Nuevo Horizonte,2023-02-22
2023,Febrero,2023-02-23 00:00:00,0.0,273.0,273.0,1.0,Nuevo Horizonte,2023-02-23
2023,Febrero,2023-02-24 00:00:00,22.16,153.16,175.32,0.8736025553274012,Nuevo Horizonte,2023-02-24
2023,Febrero,2023-02-25 00:00:00,48.97,211.98,260.95,0.8123395286453343,Nuevo Horizonte,2023-02-25
2023,Febrero,2023-02-26 00:00:00,22.17,40.26,62.43,0.6448822681403172,Nuevo Horizonte,2023-02-26
